"id","car_type_id","train_id"
"2000l1","1","1001"
"20002","2","1001"
"20003","2","1001"
"20004","1","1001"
"20005","2","1001"
"20006","2","1001"
"20007","2","1001"
"20008","2","1001"
"20009","2","1001"
"20010","1","1001"
"20011","2","1001"
"20012","1","1001"
"20013","1","1002"
"20014","1","1002"
"20015","2","1002"
"20016","1","1002"
"20017","2","1002"
"20018","2","1002"
"20019","1","1002"
"20020","2","1002"
"20021","2","1002"
"20022","1","1003"
"20023","2","1003"
"20024","1","1003"
"20025","2","1003"
"20026","2","1003"
"20027","1","1003"
"20028","1","1003"
"20029","2","1003"
"20030","1","1003"
"20031","1","1003"
"20032","2","1003"
"20033","1","1004"
"20034","2","1004"
"20035","2","1004"
"20036","1","1004"
"20037","2","1004"
"20038","1","1004"
"20039","1","1004"
"20040","2","1004"
"20041","2","1004"
"20042","1","1004"
"20043","2","1004"
"20044","2","1005"
"20045","3","1005"
"20046","2","1005"
"20047","2","1005"
"20048","2","1005"
"20049","3","1005"
"20050","2","1005"
"20051","2","1005"
"20052","2","1005"
"20053","3","1005"
"20054","2","1005"
"20055","3","1005"
"20056","3","1006"
"20057","3","1006"
"20058","3","1006"
"20059","2","1006"
"20060","3","1006"
"20061","3","1006"
"20062","2","1006"
"20063","3","1006"
"20064","2","1006"
"20197","1","1007"
"20198","1","1007"
"20199","1","1007"
"20200","2","1007"
"20201","2","1007"
"20202","2","1007"
"20203","3","1007"
"20204","3","1007"
"20205","3","1007"
"20206","1","1007"
"20207","1","1008"
"20208","3","1008"
"20209","3","1008"
"20210","2","1008"
"20211","3","1008"
"20212","2","1008"
"20213","1","1008"
"20214","1","1008"
"20215","3","1008"
"20216","2","1008"
"20217","2","1008"
"20218","2","1009"
"20219","1","1009"
"20220","1","1009"
"20221","2","1009"
"20222","3","1009"
"20223","3","1009"
"20224","2","1009"
"20225","3","1009"
"20226","1","1009"
"20227","3","1009"
"20228","3","1009"
"20229","3","1009"
"20230","1","1010"
"20231","1","1010"
"20232","2","1010"
"20233","2","1010"
"20234","3","1010"
"20235","2","1010"
"20236","3","1010"
"20237","3","1010"
"20238","2","1010"
"20239","3","1010"
"20240","1","1010"
"20241","3","1010"
"20242","3","1010"
"22221","3","1010"
"22222","3","1010"
"22224","3","1010"
